ICESHR|BEL|2004|TTL_A01_02|ICESHR|28.69
ICESHR|BEL|2005|TTL_A01_02|ICESHR|31.07
ICESHR|BEL|2006|TTL_A01_02|ICESHR|30.3
ICESHR|BEL|2007|TTL_A01_02|ICESHR|31.46
ICESHR|BEL|2008|TTL_A01_02|ICESHR|36.23
ICESHR|BEL|2009|TTL_A01_02|ICESHR|34.38
ICESHR|BEL|2010|TTL_A01_02|ICESHR|33.61
ICESHR|BEL|2011|TTL_A01_02|ICESHR|38.17
ICESHR|BEL|2012|TTL_A01_02|ICESHR|36.82
ICESHR|BEL|2013|TTL_A01_02|ICESHR|38.48
ICESHR|BEL|2014|TTL_A01_02|ICESHR|39.67
ICESHR|BEL|2015|TTL_A01_02|ICESHR|36.2
ICESHR|BEL|2016|TTL_A01_02|ICESHR|38.49
ICESHR|BEL|2017|TTL_A01_02|ICESHR|37.72
ICESHR|BEL|2018|TTL_A01_02|ICESHR|38.97
ICESHR|BEL|2019|TTL_A01_02|ICESHR|37.13
ICESHR|BEL|2020|TTL_A01_02|ICESHR|34.99
ICESHR|BGD|1995|TTL_A01_02|ICESHR|2.59
ICESHR|BGD|1996|TTL_A01_02|ICESHR|2.54
ICESHR|BGD|1997|TTL_A01_02|ICESHR|2.9
ICESHR|BGD|1998|TTL_A01_02|ICESHR|2.73
ICESHR|BGD|1999|TTL_A01_02|ICESHR|2.54
ICESHR|BGD|2000|TTL_A01_02|ICESHR|2.93
ICESHR|BGD|2001|TTL_A01_02|ICESHR|3.14
ICESHR|BGD|2002|TTL_A01_02|ICESHR|3.03
ICESHR|BGD|2003|TTL_A01_02|ICESHR|3.38
ICESHR|BGD|2004|TTL_A01_02|ICESHR|3.58
ICESHR|BGD|2005|TTL_A01_02|ICESHR|3.67
ICESHR|BGD|2006|TTL_A01_02|ICESHR|5.15
ICESHR|BGD|2007|TTL_A01_02|ICESHR|6.44
ICESHR|BGD|2008|TTL_A01_02|ICESHR|6.16
ICESHR|BGD|2009|TTL_A01_02|ICESHR|5.9
ICESHR|BGD|2010|TTL_A01_02|ICESHR|6.25
ICESHR|BGD|2011|TTL_A01_02|ICESHR|6.76
ICESHR|BGD|2012|TTL_A01_02|ICESHR|6.12
ICESHR|BGD|2013|TTL_A01_02|ICESHR|6.04
ICESHR|BGD|2014|TTL_A01_02|ICESHR|5.36
ICESHR|BGD|2015|TTL_A01_02|ICESHR|5.42
ICESHR|BGD|2016|TTL_A01_02|ICESHR|4.34
ICESHR|BGD|2017|TTL_A01_02|ICESHR|4.31
ICESHR|BGD|2018|TTL_A01_02|ICESHR|4.44
ICESHR|BGD|2019|TTL_A01_02|ICESHR|4.27
ICESHR|BGD|2020|TTL_A01_02|ICESHR|4.46
ICESHR|BGR|1995|TTL_A01_02|ICESHR|6.42
