"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"DOM_D",106.3,0,2.6,42.4,0.1,203.6,71.9,92.1,186.4,7.4,181.4,7,65.3,174.5,240,84.1,51.8,48.4,72.4,82.1,10,53.3,3169.1,70.8,123.8,444.7,160.1,0.4,23.5,13.1,2,335.2,32.4,50.7,30.1,98.8,160.5,92.4,30.9,244.9,157.8,357.1,87.8,101.9,0,2811,3.8,2.6,186.8,0.6,0,4.5,374.5,0,10954.4
"DOM_E",15.2,0,0.6,5.4,0.1,70.9,23.7,19.4,14.6,2.6,22,1.4,52.8,51.1,105.2,31.2,32.7,15.9,36.1,14.2,5.4,26.7,26.2,616,67.5,237.2,64.2,0.2,7.2,5,0.3,140.9,13,9.7,13.1,149.9,1274.1,95.3,32.8,91.3,27.7,117.2,17.3,36.4,0,37.1,0.7,168,21.4,0.1,0,1,17.7,0,3835.5
"DOM_F",112.9,0,2.1,10.5,0.1,73,27.5,69.7,28,11.9,35.5,5.1,20.1,41.1,28.6,44,43,26.4,41.1,24.9,3.5,45,69.3,120.9,2290.2,231.9,174,2.3,14.5,48.5,6,295.9,12.4,50.5,36.3,232.5,3024.4,82.2,23.6,614.8,134,227.6,69.5,70.9,0,1008.6,2.7,30.7,21859.1,5.2,0,21,352.6,0,31806.2
"DOM_G",558.9,2.9,9.1,37.5,0.2,1227.6,579.7,364.7,455,88.5,251.8,191.7,224.2,279,315.2,296.4,301.7,198.2,425.8,457.4,51.9,336,260.5,69.1,1267.9,1459.3,484.9,2.6,87.2,33,7.2,663.7,103.7,91.5,120.7,289.4,121.3,423.9,139.5,293.5,90.1,513.7,58.2,149,0,11409.2,2.6,419.1,2768.5,253.9,0,609.7,13471.1,0,42317.2
"DOM_H49",48.3,0.2,2.3,65.7,0.3,250.7,54.2,100.2,202.6,73.7,127.6,11.5,63.5,148.3,139.4,79.7,39.4,45.8,95.6,48,9.2,57.7,43.2,78.2,318.4,477.4,335.5,0.7,29.7,124.9,9.7,53.6,30.9,21.1,10.2,60.1,46,60.1,44.4,105.8,14.3,47.1,9.2,21.5,0,2826.2,0.3,366.8,456.8,49.9,0,1240.7,2788.6,0,11335.3
"DOM_H50",0.4,0,0,0,0,0.2,0.1,0.1,0.2,0.2,0,0.1,0.1,0.1,0.1,0.1,0.3,0.1,0.2,0.4,0,0.1,0.1,0,1.2,0.4,0.1,0,0.1,0,0,0.4,0,0.1,0,0.1,0.1,0.2,0.1,0.1,0.1,0.4,0,0.1,0,2.1,0,0.3,3.2,36.7,0,1.6,48.8,0,99.5
"DOM_H51",9.4,0,0.3,1.4,0,24.3,10.2,8.1,11.6,10.8,8.7,3.3,6.9,10.2,13.2,14.6,13.8,8.6,19.5,14.1,2.9,11.7,11.6,2.3,40.2,71.3,20.4,0.1,94.5,78.7,0.7,11.8,3.1,6.7,3.6,28.9,3.5,17.6,176.3,19.7,4.4,13.6,2.8,7.2,0,483.6,0.1,7.6,63.3,235.4,0,551.5,154,0,2318.5
"DOM_H52",4.9,0,0.2,3.4,0,27.4,6.4,7.7,11.9,6.9,8.4,1,4.7,10.2,9.3,8.1,5,4.3,10.5,4.5,1,6.3,42.8,5.3,24.3,103.3,47.5,1.9,215.5,14.9,0.1,18.5,2.4,2.4,2.5,9.2,7,10.3,4.7,11.5,2.3,6.4,1.4,3.5,0,750.1,0,9.1,47.8,6.7,0,8,1155.2,0,2657.1
"DOM_H53",9.3,0,0.1,2.1,0,13.9,8.4,7.6,6.4,0.9,7.3,1.7,6.3,9,7.5,15.2,12.3,8,23.7,8.8,1.7,9.9,8.6,2.7,33.6,234.6,16.4,0.3,9.7,7.3,480.1,23.2,14.6,73.5,15.6,114.6,8.9,67.2,18.5,94.1,9.5,36,13.4,57.2,0,259.2,0,0.1,1.3,0.5,0,11.4,172.2,0,1944.4
"DOM_I",8.2,0,0.1,4.3,0.1,44.3,16.4,12.8,8.9,0.8,18.3,4.4,8.1,15.9,16.2,32.8,26.8,18.5,49.6,12.1,4.8,20.3,16.7,5.5,64.2,229.9,62.5,10.2,92.1,162.8,0.4,80.5,5.7,19.9,8,113.2,3.4,51.8,683,76.1,25.1,60.7,5.8,26.5,0,9133.1,0,22.1,0,0,0,2146.5,0,0,13429.5
"DOM_J58T60",4.5,0,0,0.5,0,68.1,7.6,6.2,24.7,2.2,30.2,9.2,3,9.6,2.9,8.6,10.4,11.8,14.7,7.4,1,10.6,6,3,24,329,20.7,0.2,20,11.2,0.8,10.5,345,22.9,5.3,108.6,16,377.5,48.8,44.8,10.9,25,15.8,11.2,0,899.2,0.3,31.7,228.5,0.3,0,38.6,443.5,0,3332.6
"DOM_J61",19.9,0,0.2,4.9,0,32.5,20.3,16,13.4,1.9,15.2,3.9,13.2,18.9,18.1,32,26.4,16.7,49.8,18.6,4.2,19.7,18,6.2,70,493.2,34.7,0.7,20.9,15.2,0.1,55.2,59.3,448,34.1,253.4,18.2,145.6,38.5,135.9,20.6,76.8,16.4,31.3,0,2275.1,0,0.1,10.6,0.6,0,152.6,344.9,0,5122.2
"DOM_J62_63",2.1,0,0.2,4.1,0,72.6,20.6,21.8,25,6.7,20.4,5.2,14.3,36.5,22.8,41.6,54.8,23.7,44,16.1,10.2,27.6,38.2,6.1,32.2,325.1,70.4,0.5,16,7.4,0.5,38.8,21.8,16.5,453.5,279.4,7.1,150.3,39.8,40,10.3,37.5,9.6,28.3,0,57.7,0.1,9,1381.7,0.7,0,5.5,226.3,0,3780.7
"DOM_K",228.5,0,7.6,27.8,0.1,288.6,114.5,131.1,117.3,53.8,114.5,19.4,88.8,158.2,158.5,217.3,153.3,124.7,251.5,130.2,33,154.7,227.9,99.1,874.3,1818.9,441.5,2.2,58.1,43.4,4.7,438.1,93.6,160.7,148.6,2355.5,843.8,569.2,227.2,618.4,380.4,409.4,106,171.5,0,2965,0.2,10.1,108.7,3,0,253.9,1701.4,0,17708
"DOM_L",20.2,0,1.2,11.1,0.1,116,60.9,36.2,35,24.1,33.4,4.5,37.2,55.8,34.3,80.6,55.5,60.7,94.4,33.8,5.7,73,30.5,34.2,302.8,1871.8,106.1,1.3,39.3,39.8,2.1,388.5,71.7,47.7,158.3,323.8,533.6,301.3,118.9,217.7,138.8,254.2,63.2,127.6,0,16159.9,0,23.4,114.3,0.3,0,572.3,103.3,0,23020.7
"DOM_M",55.9,0,1.7,29,0.3,309.5,98.7,79,77.1,37,138.2,28.9,57.9,114.8,105.8,181.8,128.5,77.1,243.2,129.8,31.8,146.1,88.8,92.9,905.3,1365.4,170.3,5.9,49.9,35.7,2.8,173.8,134.9,101.1,110.1,675.3,241.8,1573.4,256.8,342.8,63.7,256.6,123.6,154.4,0,299.5,153.4,39.1,1864.5,5.2,0,65.1,2448.4,0,13872.8
