"","A01_02","A03","B05_06","B07_08","B09","C10T12","C13T15","C16","C17_18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31T33","D","E","F","G","H49","H50","H51","H52","H53","I","J58T60","J61","J62_63","K","L","M","N","O","P","Q","R","S","T","HFCE","NPISH","GGFC","GFCF","INVNT","DPABR","CONS_NONRES","EXPO","IMPO","TOTAL"
"IMP_B05_06",2,5.7,26.4,54.2,27,5.6,12.7,0.3,8.7,15061.3,253,1.4,8.3,252.1,679,4.9,13.1,9.3,3.6,0.8,2.1,3,4597.4,2.9,104.4,17.6,25.7,5.8,27.6,2.4,0.5,18.3,0.5,0.5,0.2,0.6,1.5,1.9,1.9,3.3,0.4,1.6,0.2,1.1,0,93.8,0,0.3,20.1,23,6.4,0,0,21394.3,0
"IMP_B07_08",0.3,0.1,0.5,3.1,1.1,2.7,9.8,0.1,9.7,108.1,306.7,0.5,4.4,584.7,1571.2,2.1,14.9,5,1.6,0.4,0.7,1,246.2,1.9,446.6,1.1,1,0.4,0.3,0.1,0,3.6,0.1,0.1,0,0.1,0.1,0.5,0.3,0.2,0.1,0.3,0.1,0.1,0,9.7,0,0.2,3,4.9,3.6,0,0,3353.1,0
"IMP_B09",0,0,1,0.3,0.4,0.3,0.1,0,1,20.8,3.7,0,0.3,21,4.6,0.4,1.5,0.2,0.3,0.1,0.1,0.1,46,0.1,15.6,0.7,0.1,0.5,0.5,0.1,0,0.2,0,0.1,0,0.1,0.2,0.2,0,0.2,0,0.1,0,0,0,1.2,0,0.1,0.9,0,0.5,0,0,123.9,0
"IMP_C10T12",361.1,43.7,0.1,0.2,0.1,710.6,28.4,0.9,8.9,6.1,53.7,7.9,12.1,2.4,3.8,2.9,40.8,2.1,3,0.8,0.9,13.6,3.1,0.4,4.2,47.2,0.9,0.7,2.1,0.5,0,539.3,1.4,1,0.3,0.5,5.5,2.3,0.9,19,5.9,6.7,29.3,4,0,3674.3,0.5,1.8,12.8,8.6,429.6,0,0,6107.1,0
"IMP_C13T15",2.6,13.2,0.1,0.2,0.1,2.3,1355.4,0.3,19.1,4.6,96.4,4.4,64.6,8.7,3.7,14.4,71.4,4.4,8.5,15.1,4.2,47.4,2.9,2.4,11.3,26.1,1.3,0.5,1.7,0.7,0.7,31.8,3.8,0.3,0.3,1,0.3,17.9,0.8,11.8,3.8,2.6,1.4,10.3,0,2542.3,0.5,0.3,7.7,9.2,208.2,0,0,4643.1,0
"IMP_C16",5.4,2.2,0.8,1.7,0.9,1,2.6,158.3,30.9,0.4,3.7,0.1,2.5,4.1,2.7,15,13,3.9,8.5,2.7,8.3,41.8,2,0.3,416.6,22.9,0.2,0.2,0.3,0.6,0,13.1,1.9,0.1,0.3,0.3,0.3,8.2,1.9,2.3,3.6,2,1.1,1.8,0,40.8,0.1,0.3,4.3,1.2,17.9,0,0,855.2,0
"IMP_C17_18",2.4,0.5,0.1,0.1,0,79.7,17.3,6.6,632.3,1.4,68.7,11.1,50,23.4,6.4,25.5,110.6,13.8,12.4,7,2.5,15.6,1,0.4,18.6,151.7,1.7,0.3,1.3,1.2,0.4,97.3,60.8,2.9,8.9,10.5,3.4,41.4,30.7,22.9,9.7,11.7,7.9,9.2,0,207.3,0.1,0.7,9.4,2.8,53.9,0,0,1855.4,0
"IMP_C19",36.5,100.1,14.4,69.5,23.6,34.6,45.9,4.4,26.6,1056,1814.6,3.6,76.7,75.7,375.2,85,153.2,21.3,39.6,10.8,8.2,11.5,464.4,13.5,133.9,272.7,423.7,77.7,473.1,35.3,7,19.5,8.2,2.8,1.2,5.5,11,18,31.4,50.5,6.3,26.1,1.9,15.3,0,1117,0,0.7,9.8,15,191,0,0,7519.4,0
"IMP_C20",146.5,3.4,2.3,7.7,3.6,58.3,729.1,13.4,250.3,284.4,10146,84.9,1802.4,158.4,221.9,375.9,3589.7,120,71.9,68.8,40.6,80,11.4,34.1,318.5,135.5,6.4,1.6,6.3,3,0.3,58.9,40.5,1,0.6,1.2,1.8,120.7,107.4,27.4,46.3,116.6,6,32,0,1185.6,0.3,38.9,66.1,35.9,59,0,0,20722.4,0
"IMP_C21",16.9,1.5,0.1,0.1,0.1,18.9,4.2,0.2,1.5,3.3,50.6,168.6,8.8,1.9,1.9,2.4,43.9,2.7,3.1,0.9,0.7,1.7,0.5,0.7,3.8,6.6,0.6,0.7,1.2,0.5,0,1.1,0.4,1.1,0.3,0.5,0.5,45.7,0.9,12.3,6.9,618.3,0.3,0.6,0,435.9,0.2,746.5,21.1,3,48.9,0,0,2292.8,0
