year,country,pivotal1,pivotal2,pivotal3,pivotal4,pivotal5,pivotal6
1996,CIV,29.22,34.89,20.71,52.15,15.12,26.88
1996,CMR,24.29,29.76,16.08,49.54,11.16,21.88
1996,COL,50.21,50.57,49.68,61.0,43.19,50.12
1996,CRI,30.17,32.09,27.29,50.71,21.05,29.59
1996,CYP,30.03,33.07,25.46,51.21,19.37,29.02
1996,CZE,52.3,55.17,48.0,63.87,41.45,51.46
1996,DEU,92.81,94.07,90.91,94.24,89.19,92.48
1996,DNK,61.89,65.77,56.06,71.01,49.93,60.72
1996,EGY,47.7,48.21,46.93,59.58,40.34,47.57
1996,ESP,73.39,75.55,70.16,78.31,65.36,72.81
1996,EST,23.83,26.62,19.64,48.01,14.18,22.87
1996,FIN,58.91,64.85,50.0,70.36,43.53,56.94
1996,FRA,86.3,88.35,83.22,89.0,80.22,85.75
1996,GBR,87.13,88.49,85.1,89.13,82.4,86.78
1996,GRC,48.92,46.92,51.92,58.81,45.54,49.36
1996,HKG,63.85,65.34,61.62,70.71,55.93,63.45
1996,HRV,31.99,32.9,30.62,51.12,24.17,31.74
1996,HUN,45.47,48.2,41.38,59.57,34.69,44.66
1996,IDN,66.2,69.29,61.56,73.56,55.87,65.31
1996,IND,57.31,61.27,51.36,67.89,44.95,56.1
1996,IRL,56.04,60.1,49.94,67.1,43.46,54.78
1996,ISL,22.31,25.85,17.0,47.64,11.93,20.96
1996,ISR,52.8,54.52,50.23,63.46,43.77,52.33
1996,ITA,83.09,85.89,78.88,86.84,75.22,82.31
1996,JOR,26.1,26.62,25.33,48.01,19.25,25.97
1996,JPN,90.88,92.39,88.62,92.67,86.5,90.49
1996,KAZ,41.26,45.56,34.82,58.02,28.2,39.83
1996,KHM,12.94,12.5,13.61,41.69,9.13,13.04
1996,KOR,74.94,78.36,69.8,80.54,64.96,73.96
1996,LAO,9.39,9.02,9.95,40.26,6.27,9.47
1996,LTU,24.53,26.62,21.4,48.01,15.72,23.87
1996,LUX,47.32,55.24,35.43,63.92,28.79,44.24
