hs,countries,description
030482,106,"Fish fillets: frozen, trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)"
030483,124,"Fish fillets: frozen, flat fish (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae and Citharidae)"
030484,81,"Fish fillets: frozen, swordfish (Xiphias gladius)"
030485,62,"Fish fillets: frozen, toothfish (Dissostichus spp.)"
030486,84,"Fish fillets: frozen, herrings (Clupea harengus, Clupea pallasii)"
030487,176,"Fish fillets: frozen, tunas (of the genus Thunnus), skipjack tuna (stripe-bellied bonito) (Katsuwonus pelamis)"
030488,60,"Fish fillets: frozen, dogfish, other sharks, rays and skates (Rajidae)"
030489,194,"Fish fillets: frozen, of fish n.e.c. in heading 0304.8"
030491,59,"Fish meat, excluding fillets, whether or not minced: frozen, swordfish (Xiphias gladius)"
030492,50,"Fish meat, excluding fillets, whether or not minced: frozen, toothfish (Dissostichus spp.)"
030493,101,"Fish meat, excluding fillets, whether or not minced: frozen, tilapias, catfish, carp, eels, Nile perch, and snakeheads"
